LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number
Strathbogie,Code 1,46.00%,1061,694
Surf Coast,Code 1,61.40%,917,"1,310"
Swan Hill,Code 1,74.80%,772,"1,092"
Towong,Code 1,42.50%,1379,285
Unincorporated Vic,Code 1,39.80%,1725,88
Wangaratta,Code 1,76.40%,761,"1,516"
Warrnambool,Code 1,92.50%,569,"1,556"
Wellington,Code 1,60.10%,974,"2,281"
West Wimmera,Code 1,37.30%,1297,169
Whitehorse,Code 1,92.80%,557,"6,235"
Whittlesea,Code 1,81.70%,690,"9,416"
Wodonga,Code 1,87.50%,634,"2,220"
Wyndham,Code 1,88.00%,627,"8,515"
Yarra,Code 1,93.20%,529,"4,611"
Yarra Ranges,Code 1,77.90%,716,"6,722"
Yarriambiack,Code 1,39.80%,1280,387
Interstate LGAs,Code 1,61.90%,1019,977
Total AV,Code 1,83.90%,670,"291,220"
,,,,
NOTE: ,,,,
1. The Moonee Valley LGA includes the airport to which a significant number of Code 2 inter hospital transers (IHTs) arrive. IHTs often have extended response times due to the emergency road ambulance waiting at the airport for the patient to arrive by aircraft. Removing IHTs from the Moonee Valley Code 1 response time results in performance similar to surrounding LGAs.,,,,
,,,,
,,,,
,,,,
LGA Name,Final Dispatch Code,,AVG RT - Seconds,Total Number
Alpine,Code 2,,1963,657
Ararat,Code 2,,1495,529
Ballarat,Code 2,,1301,"4,301"
Banyule,Code 2,,1337,"3,972"
Bass Coast,Code 2,,1619,"1,983"
Baw Baw,Code 2,,1455,"2,045"
Bayside,Code 2,,1515,"2,584"
Benalla,Code 2,,1537,681
Boroondara,Code 2,,1419,"3,736"
Brimbank,Code 2,,1330,"6,048"
Buloke,Code 2,,2336,244
Campaspe,Code 2,,1696,"1,782"
Cardinia,Code 2,,1231,"3,065"
Casey,Code 2,,1232,"9,220"
Central Goldfields,Code 2,,1618,856
Colac-Otway,Code 2,,1642,960
Corangamite,Code 2,,1678,626
Darebin,Code 2,,1304,"5,311"
East Gippsland,Code 2,,1902,"2,518"
Frankston,Code 2,,1143,"6,030"
Gannawarra,Code 2,,2166,459
Glen Eira,Code 2,,1512,"3,664"
Glenelg,Code 2,,1541,856
Golden Plains,Code 2,,1670,390
Greater Bendigo,Code 2,,1428,"4,305"
Greater Dandenong,Code 2,,1178,"5,911"
Greater Geelong,Code 2,,1366,"9,864"
Greater Shepparton,Code 2,,1339,"3,067"
Hepburn,Code 2,,1811,601
Hindmarsh,Code 2,,1955,322
Hobsons Bay,Code 2,,1405,"2,817"
Horsham,Code 2,,1853,"1,090"
Hume,Code 2,,1222,"7,518"
Indigo,Code 2,,1917,397
Kingston,Code 2,,1333,"4,971"
Knox,Code 2,,1128,"4,629"
Latrobe,Code 2,,1329,"4,228"
Loddon,Code 2,,2064,318
Macedon Ranges,Code 2,,1327,"1,705"
Manningham,Code 2,,1466,"2,808"
Mansfield,Code 2,,2187,426
Maribyrnong,Code 2,,1362,"2,791"
Maroondah,Code 2,,1181,"3,870"
Melbourne,Code 2,,1363,"9,172"
Melton,Code 2,,1268,"4,394"
Mildura,Code 2,,1746,"2,541"
Mitchell,Code 2,,1415,"2,151"
Moira,Code 2,,1598,"1,597"
Monash,Code 2,,1390,"5,279"
Moonee Valley (1),Code 2,,3665,"5,402"
Moorabool,Code 2,,1366,"1,311"
Moreland,Code 2,,1408,"5,614"
Mornington Peninsula,Code 2,,1246,"6,504"
Mount Alexander,Code 2,,1748,699
Moyne,Code 2,,1854,458
Murrindindi,Code 2,,1905,641
Nillumbik,Code 2,,1404,"1,472"
Northern Grampians,Code 2,,1654,684
Port Phillip,Code 2,,1419,"3,790"
Pyrenees,Code 2,,1638,284
Queenscliffe,Code 2,,1442,131
South Gippsland,Code 2,,1818,"1,197"
Southern Grampians,Code 2,,1646,610
Stonnington,Code 2,,1493,"2,942"
Strathbogie,Code 2,,1602,480
Surf Coast,Code 2,,1442,955
Swan Hill,Code 2,,1853,"1,001"
Towong,Code 2,,1999,298
Unincorporated Vic,Code 2,,1800,277
Wangaratta,Code 2,,1712,"1,207"
Warrnambool,Code 2,,1257,"1,346"
Wellington,Code 2,,1680,"1,882"
West Wimmera,Code 2,,1851,151
Whitehorse,Code 2,,1307,"4,632"
Whittlesea,Code 2,,1366,"5,835"
Wodonga,Code 2,,1380,"1,561"
Wyndham,Code 2,,1277,"6,012"
Yarra,Code 2,,1356,"3,445"
Yarra Ranges,Code 2,,1202,"4,719"
Yarriambiack,Code 2,,2004,273
Interstate LGAs,Code 2,,1824,612
Total AV,Code 2,,1441,"215,714"
,,,,
NOTE: ,,,,
1. The Moonee Valley LGA includes the airport to which a significant number of Code 2 inter hospital transers (IHTs) arrive. IHTs often have extended response times due to the emergency road ambulance waiting at the airport for the patient to arrive by aircraft. Removing IHTs from the Moonee Valley Code 1 response time results in performance similar to surrounding LGAs.,,,,
